player_name,pitcher,events,p_throws,pitch_name,release_speed,hit_distance_sc,launch_speed,launch_angle,bat_score,post_bat_score,delta_run_exp
"Ohtani, Shohei",656849,single,L,Sinker,91.4,21,114.1,-5,2,3,0.9
"Ohtani, Shohei",605347,home_run,R,Sinker,95.9,380,103,34,7,9,2
"Ohtani, Shohei",686730,single,R,Changeup,86.2,162,113.5,8,0,0,0.9
"Ohtani, Shohei",668881,triple,R,Split-Finger,87.3,32,102.1,-2,1,1,1.6
"Ohtani, Shohei",676714,single,L,Slider,83.6,157,73,15,0,0,0.9
"Ohtani, Shohei",694297,single,R,Changeup,87,41,102.6,0,1,2,0.9
"Ohtani, Shohei",694297,double,R,4-Seam Fastball,95,235,94.2,14,0,0,1.25
"Ohtani, Shohei",664747,single,R,4-Seam Fastball,94,164,100.3,11,2,3,0.9
"Ohtani, Shohei",594580,single,L,Sweeper,81.7,35,80.6,-1,2,2,0.9
"Ohtani, Shohei",593423,home_run,R,4-Seam Fastball,95.3,368,104.5,28,1,3,2
"Ohtani, Shohei",657277,single,R,Sinker,91.9,12,103.1,-11,0,0,0.9
"Ohtani, Shohei",666808,single,R,Cutter,101,256,95.7,13,1,1,0.9
"Ohtani, Shohei",676775,single,R,Sinker,92.3,281,109.4,10,4,4,0.9
"Ohtani, Shohei",676775,home_run,R,Slider,88.7,446,113.4,29,0,1,2
"Ohtani, Shohei",678495,double,R,4-Seam Fastball,97.6,236,90.4,15,5,6,1.25
"Ohtani, Shohei",663855,single,R,Sinker,98.6,2,86.8,-46,1,2,0.9
"Ohtani, Shohei",663855,single,R,Sinker,95,194,106,12,1,1,0.9
"Ohtani, Shohei",650633,single,R,Sinker,92.6,247,78.9,26,0,0,0.9
"Ohtani, Shohei",673513,double,L,Slider,87.1,299,107.2,13,0,0,1.25
"Ohtani, Shohei",682610,single,R,Changeup,89.4,84,101.2,4,6,6,0.9
"Ohtani, Shohei",682610,home_run,R,4-Seam Fastball,96.1,441,107.6,27,0,2,2
"Ohtani, Shohei",608331,single,L,Slider,83.4,203,75,16,2,2,0.9
"Ohtani, Shohei",608331,single,L,4-Seam Fastball,98.4,14,97.4,-9,2,2,0.9
"Ohtani, Shohei",608331,home_run,L,Curveball,74.6,412,104.3,31,0,2,2
"Ohtani, Shohei",621345,home_run,L,4-Seam Fastball,93.8,464,110.6,26,4,5,2
"Ohtani, Shohei",693821,single,R,Sinker,90.3,214,95,11,4,5,0.9
"Ohtani, Shohei",693821,home_run,R,4-Seam Fastball,90.2,392,103.4,34,2,3,2
"Ohtani, Shohei",623451,single,R,Sinker,91.1,288,93.7,18,10,10,0.9
"Ohtani, Shohei",628452,single,R,Changeup,88.5,149,84.9,8,2,3,0.9
"Ohtani, Shohei",676714,single,L,Slider,82.9,36,77.8,-2,0,0,0.9
"Ohtani, Shohei",663531,single,L,4-Seam Fastball,90.5,253,107.7,12,7,8,0.9
"Ohtani, Shohei",674072,single,L,Curveball,80,142,102,4,0,0,0.9
"Ohtani, Shohei",579328,single,L,4-Seam Fastball,98.2,153,119.2,6,2,3,0.9
"Ohtani, Shohei",605135,home_run,R,Slider,83.2,360,96.1,37,0,1,2
"Ohtani, Shohei",598264,double,R,4-Seam Fastball,92.8,386,101.9,29,8,9,1.25
"Ohtani, Shohei",663432,double,R,4-Seam Fastball,93.9,250,105.7,11,7,8,1.25
"Ohtani, Shohei",663623,double,R,4-Seam Fastball,96.7,323,115.6,13,0,0,1.25
"Ohtani, Shohei",598264,home_run,R,Split-Finger,85.6,450,118.7,25,3,4,2
"Ohtani, Shohei",605288,single,R,Sinker,92.8,33,101,-2,3,3,0.9
"Ohtani, Shohei",605288,home_run,R,Slider,81.7,423,110,30,0,2,2
"Ohtani, Shohei",676130,double,R,Slider,87.5,328,103.4,21,1,1,1.25
"Ohtani, Shohei",640455,single,L,Sweeper,78.6,263,107.8,11,1,2,0.9
"Ohtani, Shohei",663623,single,R,Curveball,80.6,244,106.7,12,0,0,0.9
