Position,HeightInch,WeightLbs,Age
2,74,180,22.99
2,74,215,34.69
2,72,210,30.78
3,72,210,35.43
3,73,188,35.71
4,69,176,29.39
5,69,209,30.77
6,71,200,35.07
6,76,231,30.19
7,71,180,27.05
7,73,188,23.88
7,73,180,26.96
7,74,185,23.29
7,74,160,26.11
7,69,180,27.55
7,70,185,34.27
8,72,197,30
1,73,189,27.99
1,75,185,22.38
1,78,219,22.89
1,79,230,25.76
1,76,205,36.33
1,74,230,31.17
1,76,195,32.31
1,72,180,31.03
1,71,192,29.26
1,75,225,29.47
1,77,203,32.46
1,74,195,35.67
1,73,182,25.89
1,74,188,26.55
1,78,200,24.17
1,73,180,26.69
1,75,200,25.13
1,73,200,27.9
2,75,245,30.17
2,75,240,31.36
3,74,215,30.99
4,69,185,32.24
5,71,175,27.61
5,74,199,28.2
6,73,200,28.85
6,73,215,24.21
7,76,200,22.02
7,74,205,24.97
7,74,206,26.78
7,70,186,32.51
7,72,188,30.95
7,77,220,33.09
7,74,210,32.74
7,70,195,30.69
8,76,244,36.51
8,75,195,26.03
1,73,200,23.45
1,75,200,24.94
1,76,212,24.09
1,76,224,35.23
1,78,210,27.43
1,74,205,30.6
1,74,220,27.94
1,76,195,29.99
1,77,200,25.17
1,81,260,24.13
1,78,228,30.46
1,75,270,25.96
1,77,200,22.55
1,75,210,26.29
1,76,190,24.79
2,74,220,31.74
2,72,180,23.92
2,72,205,25.33
3,75,210,24.02
3,73,220,23.7
3,73,211,31.59
3,73,200,29.95
3,70,180,23.64
5,70,190,32.33
5,70,170,23.13
6,76,230,26.6
6,68,155,26.46
7,71,185,25.75
7,72,185,27.51
7,75,200,25.11
7,75,225,32.51
7,75,225,34.67
7,75,220,31.06
7,68,160,29.1
7,74,205,28.66
1,78,235,28.35
1,71,250,33.77
1,73,210,30.89
1,76,190,37.74
1,74,160,24.14
1,74,200,25.71
1,79,205,24.41
1,75,222,24.32
1,73,195,28.09
1,76,205,33.31
1,74,220,36.4
1,74,220,37.36
1,73,170,31.61
1,72,185,25.14
1,74,195,30.29
2,73,220,36.37
2,74,230,34.89
2,72,180,23.79
3,73,220,27.96
4,69,180,23.54
5,72,180,31.37
5,73,170,31.29
6,75,210,33.01
7,75,215,25.1
7,73,200,31.28
7,72,213,34.75
7,72,180,23.46
7,76,192,25.37
7,74,235,29.57
7,72,185,27.33
8,76,230,31.28
1,77,235,40.29
1,74,210,40.58
1,77,222,26.79
1,75,210,32.55
1,76,230,26.27
1,80,220,29.47
1,74,180,29.07
1,74,190,23.15
1,75,200,24.9
1,78,210,23.29
1,73,194,31.18
1,73,180,26.56
1,74,190,25.03
1,75,240,35.66
1,76,200,29.64
1,71,198,30.74
1,73,200,28.43
1,74,195,33.77
1,76,210,40.97
1,76,220,23.52
2,74,190,28.19
2,73,210,26.84
3,74,225,26.16
4,70,180,28.67
4,72,185,24.2
4,73,170,27.08
5,73,185,24.76
6,73,185,23.36
7,73,180,25.35
7,71,178,24.63
7,74,175,24.02
7,74,200,24.58
7,72,204,30.82
7,74,211,32.89
7,71,190,33.33
7,74,210,33.52
8,75,240,29.74
1,73,190,36.24
1,75,190,28.5
1,75,185,29.42
1,79,290,26.61
1,73,175,23.79
1,75,185,24.96
1,76,200,25.93
1,74,220,22.81
1,76,170,25.29
1,78,220,26.07
1,74,190,26.09
1,76,220,23.23
1,72,205,33.49
1,74,200,31.84
1,76,250,42.3
1,74,225,35.82
1,75,215,35.27
1,78,210,26.81
2,75,215,38.49
2,72,195,32.68
2,74,200,34.93
3,72,194,26.26
3,74,220,27.56
4,70,180,23.98
4,71,180,29.73
5,70,170,31.33
5,75,195,27.13
5,71,180,26.75
6,71,170,27.09
6,73,206,29.23
7,72,205,28.88
7,71,200,33.01
7,73,225,30.57
7,72,201,31.24
7,75,225,24.95
8,70,226,27.35
1,74,233,24.62
1,74,180,24.98
1,75,225,26.22
1,73,180,26.04
1,77,220,26.45
1,73,180,25.25
1,76,237,27.77
1,75,215,35.16
1,74,190,37.1
1,76,235,34.51
1,75,190,29.28
1,73,180,32.14
1,71,165,23.94
1,76,195,27.45
1,75,200,28.77
1,72,190,23.58
1,71,190,27.56
1,77,185,24.01
1,73,185,26.52
2,74,205,35.54
2,71,190,29.43
3,72,205,29.9
3,74,206,32.7
3,75,220,28.8
4,73,208,32.82
4,72,170,24.36
5,75,195,32.68
6,75,210,31.59
7,74,190,33.32
7,72,211,32.97
7,74,230,32.72
7,71,170,22.55
7,70,185,27.45
8,75,230,36.14
1,74,185,38.23
1,77,241,31.14
1,77,225,34.71
1,75,210,26.13
1,75,175,24.43
1,78,230,23.76
1,75,200,26.92
1,76,215,25.85
1,73,198,30.16
1,75,226,25.03
1,75,278,24.21
1,79,215,26.51
1,77,230,26.36
1,76,240,30.88
1,71,184,32.57
1,75,219,37.68
1,74,170,37.25
2,69,218,35.25
2,71,190,33.95
3,76,225,32.66
3,72,220,26.68
4,72,176,25.18
4,70,190,31.39
4,72,197,33.74
5,73,204,31.42
5,71,167,27.5
5,72,180,24.25
6,71,195,29.78
7,73,220,30
7,72,215,33.09
7,73,185,25.96
7,74,190,23.34
7,74,205,29.98
7,72,205,38.28
8,73,200,27.12
1,75,200,24.97
1,74,210,24.34
1,74,215,29.49
1,77,200,24.02
1,75,205,24.73
1,73,211,42.3
1,72,190,29.54
1,71,208,29.95
1,74,200,29.24
1,77,210,30.3
1,75,232,40.77
1,75,230,38.85
1,75,210,22.31
1,78,220,25.44
1,78,210,21.78
1,74,202,22.64
1,76,212,26.11
1,78,225,27.55
1,76,170,24.63
2,70,190,23.58
2,72,200,30.73
3,80,237,32.17
3,74,220,30.43
4,74,170,23.27
4,71,193,32.51
5,70,190,25.08
5,72,150,22.41
6,71,220,27.9
7,74,200,34.74
7,71,190,30.79
7,72,185,25.71
7,71,185,29.26
7,74,200,21.58
7,69,172,33.36
7,76,220,24.94
1,75,225,20.9
1,75,190,21.52
1,76,195,25.85
1,73,219,27.27
1,76,190,26.75
1,73,197,36.03
1,77,200,30.52
1,73,195,32.55
1,72,210,29.86
1,72,177,29.58
1,77,220,30.02
1,77,235,29.16
1,71,180,22.3
1,74,195,22.06
1,74,195,25.65
1,73,190,25.49
1,78,230,27.86
1,75,190,23.73
2,73,200,31.78
2,70,190,23.06
2,74,190,26.6
3,72,200,29.39
4,73,200,26.51
4,73,184,25.08
5,75,200,25.76
6,75,180,22.52
7,74,219,25.57
7,76,187,25.43
7,73,200,34.65
7,74,220,22.68
7,75,205,21.46
8,73,205,26.27
1,75,190,23.47
1,72,170,23.1
1,73,160,29.14
1,73,215,29.77
1,72,175,23.85
1,74,205,28.88
1,78,200,24.49
1,76,214,25.19
1,73,200,27.48
1,74,190,28.31
1,75,180,26.54
1,70,205,26.77
1,75,220,23.75
1,71,190,26.41
1,72,215,36.47
1,78,235,26.06
1,75,191,27.55
1,73,200,31.28
1,73,181,29.04
2,71,200,32.95
2,75,210,26.65
3,77,240,27.5
3,72,185,30.9
4,69,165,29.09
4,73,190,36.67
4,74,185,23.44
5,72,175,29.09
5,70,155,22.89
6,75,210,25.48
7,70,170,25.84
7,72,175,27.2
7,72,220,25.22
7,74,210,24.67
7,73,205,39.25
