overall_pick,games,points,field_goal_percentage,3_point_percentage,free_throw_percentage,points_per_game
1,474,4494,0.51,0.05,0.689,9.5
2,917,6439,0.446,0.393,0.84,7
3,742,10544,0.465,0.375,0.799,14.2
4,1000,18336,0.456,0.4,0.846,18.3
5,672,5680,0.472,0.135,0.716,8.5
6,438,2819,0.478,0.235,0.707,6.4
7,766,6925,0.402,0.358,0.81,9
8,281,2083,0.401,0.193,0.707,7.4
9,687,3617,0.48,0,0.691,5.3
10,639,7083,0.444,0.329,0.652,11.1
11,800,11529,0.446,0.356,0.667,14.4
12,889,11962,0.409,0.336,0.736,13.5
13,141,698,0.474,0.15,0.835,5
14,867,15373,0.431,0.355,0.782,17.7
15,237,1870,0.46,0.244,0.789,7.9
16,850,8901,0.46,0.411,0.858,10.5
17,1051,15347,0.488,0.277,0.741,14.6
18,747,7320,0.477,0.425,0.856,9.8
19,144,508,0.41,0.293,0.859,3.5
20,55,112,0.395,,0.609,2
21,704,7585,0.475,0.335,0.779,10.8
22,87,451,0.471,0.35,0.722,5.2
23,29,55,0.257,0,0.594,1.9
24,116,418,0.439,0,0.524,3.6
25,128,609,0.386,0.224,0.787,4.8
26,1134,13398,0.495,0.235,0.692,11.8
27,134,627,0.504,0.133,0.725,4.7
28,765,8425,0.484,0.267,0.678,11
29,20,39,0.359,,0.688,2
30,89,171,0.369,0.263,0.596,1.9
31,143,956,0.417,0.282,0.694,6.7
32,16,37,0.5,,0.389,2.3
33,4,7,0.429,0,0.333,1.8
34,31,44,0.459,0,0.5,1.4
35,64,323,0.469,0.192,0.667,5
36,1380,19591,0.438,0.356,0.689,14.2
37,149,1026,0.513,,0.722,6.9
38,676,6477,0.481,0.191,0.801,9.6
39,45,202,0.494,0,0.609,4.5
40,224,3733,0.497,0,0.735,16.7
41,42,81,0.43,0,0.5,1.9
42,,,,,,
43,694,4125,0.491,0.227,0.699,5.9
44,,,,,,
45,50,213,0.403,0.13,0.667,4.3
46,2,6,0.429,,,3
47,,,,,,
48,,,,,,
49,359,1967,0.419,0.323,0.764,5.5
50,138,474,0.414,0.326,0.677,3.4
51,36,72,0.338,0.286,0.8,2
52,274,767,0.383,0.281,0.71,2.8
53,,,,,,
54,,,,,,
1,781,12884,0.447,0.295,0.769,16.5
2,1335,21813,0.466,0.317,0.729,16.3
3,586,8553,0.442,0.354,0.905,14.6
4,629,8094,0.417,0.397,0.793,12.9
5,966,12914,0.434,0.3,0.754,13.4
6,640,3354,0.484,0,0.658,5.2
7,454,5833,0.433,0.305,0.771,12.8
8,105,574,0.386,0.291,0.728,5.5
9,316,3243,0.424,0.345,0.786,10.3
10,336,2546,0.432,0.344,0.611,7.6
11,801,7532,0.502,0,0.643,9.4
12,210,1084,0.426,0.417,0.744,5.2
13,689,6984,0.504,0.244,0.718,10.1
14,115,1273,0.41,0.362,0.749,11.1
15,90,306,0.392,0.277,0.86,3.4
16,678,7175,0.457,0.384,0.781,10.6
17,179,721,0.449,0,0.648,4
18,541,2648,0.507,0.286,0.618,4.9
19,608,6758,0.436,0.357,0.825,11.1
20,201,1553,0.433,0.236,0.643,7.7
21,475,3472,0.44,0.125,0.606,7.3
22,177,736,0.414,0.071,0.82,4.2
23,318,2199,0.468,0.125,0.59,6.9
24,217,587,0.404,0.125,0.638,2.7
25,256,1465,0.502,0,0.701,5.7
26,142,289,0.436,0.253,0.667,2
27,1044,10805,0.46,0.054,0.699,10.3
28,52,53,0.333,0,0.65,1
29,846,9810,0.447,0.335,0.729,11.6
30,465,2481,0.476,0.143,0.643,5.3
31,276,1699,0.436,0.263,0.73,6.2
32,118,389,0.388,0.227,0.705,3.3
33,48,100,0.412,0,0.667,2.1
34,94,340,0.399,0.186,0.79,3.6
35,656,2538,0.44,0.225,0.748,3.9
36,103,591,0.456,0,0.567,5.7
37,151,1502,0.435,0.138,0.778,9.9
38,720,2385,0.433,0.366,0.633,3.3
39,174,331,0.558,0.2,0.759,1.9
40,852,6628,0.425,0.267,0.811,7.8
41,33,73,0.329,0.1,0.696,2.2
42,267,1942,0.417,0.34,0.664,7.3
43,683,4238,0.47,0.091,0.705,6.2
44,238,739,0.403,0.432,0.869,3.1
45,903,9041,0.448,0.087,0.727,10
46,260,1247,0.511,0,0.68,4.8
47,456,3088,0.43,0.18,0.786,6.8
48,609,8693,0.5,0.309,0.753,14.3
49,,,,,,
50,21,37,0.375,,0.65,1.8
51,457,2504,0.431,0.307,0.69,5.5
52,7,8,0.333,,0.4,1.1
53,,,,,,
54,220,1375,0.428,0.321,0.85,6.3
1,707,11450,0.484,0.332,0.766,16.2
2,858,10789,0.421,0.346,0.79,12.6
3,600,7026,0.481,0.291,0.629,11.7
4,1196,11729,0.518,0,0.684,9.8
5,942,13430,0.44,0.358,0.845,14.3
6,296,2356,0.425,0.083,0.773,8
7,567,4090,0.462,0,0.76,7.2
